aba	546,阿巴 1050,阿爸 1050,阿爸 2786,阿坝
kuaishanzu	1113,快闪族
kuaishou	366,快手
kuaishumian	1035,快熟面
kuaisu	617,快速
kuaisudongyanqi	617,快速动眼期
kuaisujiyifa	1333,快速记忆法
kuaiti	793,块体
kuaiting	1372,快艇
kuaitou	793,块头
kuaitui	723,快退
kuaiwei	1632,快慰
kuaixin	366,快信
kuaixingdao	366,快行道
kuaixun	1238,快讯
kuaiyao	366,快要
kuaiyi	366,快意
kuaiyu	7151,鲙鱼
kuaizhao	443,快照
kuaizhirenkou	5101,脍炙人口
kuaizhongzi	366,快中子
kuaizhuan	376,快转
kuaizhuang	793,块状
kuaizhuhu	2582,快煮壶
kuaizi	3110,筷子
kuaizijie	4002,筷子芥
kuaizitui	3110,筷子腿
kuaizui	1010,快嘴
kuajiang	1955,夸奖
kuajieqi	1774,跨接器
kuajing	1774,跨境 1774,跨径
kuaju	1774,跨距
kuake	1955,夸克
kuakou	1955,夸口
kuakuaqitan	1955,夸夸其谈
kualan	2101,跨栏
kualanbisai	2101,跨栏比赛
kualian	2674,垮脸
kualingyu	1774,跨领域
kuanbu	807,款步
kuanchang	2122,宽畅 2592,宽敞
kuancheng	1155,宽城
kuanchengqu	1155,宽城区
kuanchengxian	1155,宽城县
kuanchuo	2930,宽绰
kuanda	1155,宽大
kuandai	807,款待 1155,宽带 1155,宽待 1605,宽贷
kuandaofahuo	818,款到发货
kuandarenai	1360,宽大仁爱
kuandaweihuai	1155,宽大为怀
kuandazhaiyong	2244,宽打窄用
kuandian	2588,宽甸
kuandianxian	2588,宽甸县
kuandong	1384,款冬
kuandu	1155,宽度
kuanduan	807,款段
kuaner	807,款儿
kuanfan	1327,宽泛
kuanfu	807,款服 1389,款伏 2771,宽斧
kuangao	1960,狂傲
kuangbao	1147,狂暴
kuangbaozhe	1147,狂暴者
kuangbiao	4091,狂飙
kuangcang	1385,矿藏
kuangceng	1385,矿层
kuangchan	1385,矿产
kuangchang	1385,矿场
kuangchanziyuan	1385,矿产资源
kuangchao	1302,狂潮
kuangche	1385,矿车
kuangchuang	1385,矿床
kuangda	2735,旷达
kuangdai	2735,旷代
kuangdeng	1385,矿灯
kuangdi	2735,旷地
kuangdie	1590,狂跌
kuangding	1147,狂顶
kuangfang	1147,狂放
kuangfei	2735,旷废 2735,旷费 3426,狂吠
kuangfeng	1147,狂风
kuangfengbaoyu	1147,狂风暴雨
kuangfengzhouyu	2045,狂风骤雨
kuangfu	2735,旷夫
kuangfusheji	3887,匡扶社稷
kuanggong	1385,矿工 2735,旷工
kuanggu	2735,旷古
kuangguweiwen	2735,旷古未闻
kuangguweiyou	2735,旷古未有
kuanghe	37949,洭河
kuanghonglanzha	2282,狂轰滥炸
kuanghuan	1147,狂欢
kuanghuanjie	1147,狂欢节
kuangji	1385,矿机
kuangjia	2144,框架
kuangjing	1431,矿井
kuangke	2735,旷课
kuangkeng	2242,矿坑
kuangkuang	2144,框框
kuangkuanglanglang	5013,哐哐啷啷
kuangkuo	2735,旷阔
kuanglang	5013,哐啷
kuangluan	1147,狂乱
kuangmai	1594,矿脉
kuangmiao	2966,旷渺
kuangnan	1385,矿难
kuangniubing	1147,狂牛病
kuangnu	1147,狂怒
kuangnugutai	1402,狂奴故态
kuangpian	4937,诓骗
kuangqie	419,况且 5474,筐箧
kuangqiezhongwu	5474,筐箧中物
kuangqu	1385,矿区
kuangquan	1641,矿泉
kuangquanbing	2649,狂犬病
kuangquanshui	1641,矿泉水
kuangre	1147,狂热
kuangren	1147,狂人
kuangrenriji	1147,狂人日记
kuangrichijiu	2735,旷日持久
kuangsanzhasi	2403,狂三诈四
kuangshan	1385,矿山
kuangshi	1385,矿石 2735,旷世
kuangshisheying	2735,旷时摄影
kuangshuai	2603,狂甩
kuangshui	1385,矿水
kuangtai	1147,狂态
kuangti	1385,矿体
kuangtu	2144,框图
kuangu	5086,髋骨
kuanguang	1155,宽广
kuanguangdu	1155,宽广度
kuanguanjie	5086,髋关节
kuangwang	2097,狂妄
kuangwangzida	2097,狂妄自大
kuangwei	844,况味
kuangwu	1385,矿物
kuangwuju	1385,矿务局
kuangwuranliao	1553,矿物燃料
kuangwuxue	1385,矿物学
kuangwuzhi	1385,矿物质
kuangxi	1147,狂喜
kuangxiang	1147,狂想
kuangxiangqu	1147,狂想曲
kuangxiao	1147,狂笑
kuangyan	1147,狂言 1885,矿盐
kuangye	1147,狂野 1385,矿业 2735,旷野
kuangyin	1569,狂饮
kuangyinbaoshi	1569,狂饮暴食
kuangyoujing	1385,矿油精
kuangyu	4488,诳语
kuangzao	2451,狂躁
kuangzha	3196,矿渣
kuangzhanshi	1147,狂战士
kuangzheng	3260,匡正
kuangzhi	2206,矿脂 2735,旷职
kuangzhu	1385,矿主
kuangzi	2144,框子 3968,狂恣
kuanhong	1350,宽洪 1798,宽宏 2619,宽弘
kuanhongdadu	1350,宽洪大度 1798,宽宏大度
kuanhongdaliang	1350,宽洪大量 1798,宽宏大量
kuanhou	1235,宽厚
kuanhuan	1155,宽缓
kuanian	1774,跨年
kuanjia	1155,宽假
kuanjian	1155,宽减
kuanjiaodai	2170,宽胶带
kuanjie	1155,宽解
kuankou	1155,宽口
kuankuan	807,款款
kuankuang	2735,宽旷
kuankuo	1675,宽阔
kuanliang	1155,宽亮
kuanmian	1155,宽免
kuanpin	1535,宽频
kuanping	1891,宽屏
kuanrao	2266,宽饶
kuanrong	1155,宽容
kuanshe	3107,宽赦
kuanshi	807,款式 807,款式
kuanshu	1459,宽舒 2314,宽恕
kuanshuang	2378,宽爽
kuansong	1155,宽松
kuanwei	1632,宽慰
kuanweishuying	2902,宽尾树莺
kuanwenhaitun	3307,宽吻海豚
kuanxian	1155,宽限
kuanxiang	807,款项
kuanxianqi	1155,宽限期
kuanxin	807,款新 1155,宽心
kuanxinwan	2462,宽心丸
kuanxinwaner	2462,宽心丸儿
kuanyan	2155,款宴
kuanyi	1155,宽衣
kuanyidairen	1155,宽以待人
kuanyijiedai	1155,宽衣解带
kuanyingpian	1155,宽影片
kuanyinmudianying	1315,宽银幕电影
kuanyou	4707,宽宥
kuanyu	1155,宽余 2023,宽裕
kuanyuyishi	880,款语移时
kuanzhai	2244,宽窄
kuanzhan	1155,宽展
kuanzi	807,款子
kuanzuiwengying	7402,宽嘴鹟莺
kuao	2705,苦熬
kuapingtai	1774,跨平台
kuashang	1774,跨上
kuasheng	1774,跨省
kuata	2674,垮塌
kuatai	2674,垮台
kuawenhua	1774,跨文化
kuaxiahaikou	1955,夸下海口
kuaxianqiao	1774,跨线桥
kuaxiawu	4526,胯下物
kuaxiazhiru	4526,胯下之辱
kuaxingbie	1774,跨性别
kuaxiukeerzheng	1955,夸休可尔症
kuaxueke	1774,跨学科
kuayao	1955,夸耀
kuayuan	1774,跨院
kuayue	1774,跨越
kuayueshi	1774,跨越式
kuayuyan	1774,跨语言
kuazan	1955,夸赞
kuazao	2691,跨灶
kuazhang	1955,夸张
kuazhou	1774,跨洲
kuazi	6199,侉子
kuazu	1774,跨足
kubi	2534,酷毙
kubizi	1335,哭鼻子
kubuji	3757,苦不唧
kubujier	3757,苦不唧儿
kubukanyan	1811,苦不堪言
kubulike	1097,库布里克
kucaihua	1266,苦菜花
kucang	1097,库藏
kucao	2188,枯草
kucaoganjun	2188,枯草杆菌
kucaore	2188,枯草热
kucha	4675,裤衩
kuchai	732,苦差
kuchaishi	732,苦差事
kuche	1097,库车
kuchexian	1097,库车县
kuchu	634,苦处 859,苦楚
kucun	1097,库存
kucunxianjin	1097,库存现金
kudachoushen	1536,苦大仇深
kudai	673,苦待 2090,裤带
kudan	1352,苦胆
kudang	4099,裤裆
kude	1097,库德
kudesitan	1097,库德斯坦
kudieda	3018,苦迭打
kudou	2512,裤兜
kuer	1097,库尔 1867,酷儿
kuerde	1097,库尔德
kuerderen	1097,库尔德人
kuerdesitan	1097,库尔德斯坦
kuerle	1097,库尔勒
kuerleshi	1097,库尔勒市
kuernikewa	1833,库尔尼科娃
kuersike	1097,库尔斯克
kufang	1097,库房
kugan	634,苦干 1408,苦甘 2188,枯干
kugao	4428,枯槁
kugen	634,苦根
kugong	634,苦功 634,苦工
kugongdang	1097,库工党
kugua	1827,苦瓜
kugualian	1827,苦瓜脸
kuguan	2090,裤管
kuguo	634,苦果
kuhaha	713,苦哈哈
kuhai	634,苦海
kuhaimangmang	1951,苦海茫茫
kuhan	1210,哭喊 1297,苦寒
kuhuo	634,苦活
kuhuoer	634,苦活儿
kuiba	2786,溃坝
kuibai	1916,溃败
kuibao	2748,窥豹
kuibaoyiban	2748,窥豹一斑
kuibeike	2599,魁北克
kuibeikeshi	2599,魁北克市
kuiben	1738,亏本
kuibenchushou	1738,亏本出售
kuibing	1916,溃兵
kuibuchengjun	1916,溃不成军
kuibugandang	2275,愧不敢当
kuichan	1738,亏产
kuichong	3580,葵涌
kuidai	1738,亏待
kuide	1738,亏得
kuidi	1916,溃敌
kuidui	2275,愧对
kuifa	3727,匮乏
kuifu	1738,亏负
kuige	1738,亏格 3958,睽隔
kuihan	2275,愧汗 5725,魁蚶
kuihen	2275,愧恨
kuihua	3580,葵花
kuihuazi	3580,葵花子
kuihuiwudi	2275,愧悔无地
kuijia	3030,盔甲
kuijie	3727,匮竭
kuijiu	3203,愧疚
kuijue	1916,溃决
kuijun	1916,溃军
kuikong	1738,亏空
kuikui	4330,夔夔
kuilan	1916,溃烂
kuilei	3992,傀儡
kuileixi	3992,傀儡戏
kuileizhengquan	3992,傀儡政权
kuilin	6071,喹啉
kuinan	5467,愧赧
kuining	2608,奎宁
kuiningshui	2608,奎宁水
kuiniu	39354,犪牛
kuinuotong	6071,喹诺酮
kuiqian	1948,亏欠
kuiqing	3580,葵青
kuique	1738,亏缺 3727,匮缺
kuisan	1916,溃散
kuise	2275,愧色
kuishe	6430,蝰蛇
kuishi	2748,窥视 37334,櫆师
kuishou	2599,魁首
kuishu	3580,葵鼠
kuisi	2782,窥伺
kuisong	2947,馈送
kuisun	1738,亏损
kuitan	2748,窥探
kuitao	1916,溃逃
kuitou	3030,盔头
kuitun	2864,奎屯
kuitunshi	2864,奎屯市
kuituo	2608,奎托
kuiwang	2748,窥望
kuiwei	2599,魁伟 3958,睽违
kuiwen	2608,奎文
kuiwenqu	2608,奎文区
kuiwu	3356,魁梧
kuixin	1738,亏心
kuixing	2599,魁星 2608,奎星
kuixingge	2599,魁星阁
kuixinshi	1738,亏心事
kuiyang	3372,溃疡
kuiyuan	2599,魁元
kuizeng	2947,馈赠
kuizhe	1738,亏折
kuizhi	2748,窥知
kuizhou	4330,夔州
kuizuo	6390,愧怍
kuji	2188,枯寂
kujian	3050,苦谏
kujie	2188,枯竭
kujimiedao	953,苦集灭道
kujing	634,苦境
kujinganlai	1408,苦尽甘来
kuju	2509,苦菊 4756,苦苣
kuke	1097,库克
kukechuanzhang	1097,库克船长
kukequndao	1097,库克群岛
kukeshan	1097,库克山
kukou	634,苦口 2090,裤口
kukoupoxin	1347,苦口婆心
kuku	634,苦苦 6540,矻矻
kukuaiqiu	1751,苦苦哀求
kukuang	634,苦况
kukutiti	2913,哭哭啼啼
kulao	679,苦劳
kulasuo	1097,库拉索
kuli	634,苦力
kulian	1005,苦练 1210,哭脸 5723,苦楝
kulie	1867,酷烈
kuling	1210,哭灵 4194,苦苓
kulitiba	1097,库里提巴
kulong	3845,窟窿
kulongyan	3845,窟窿眼
kulou	3761,骷髅
kuloutou	3761,骷髅头
kulubing	1097,库鲁病
kulun	1097,库伦 1097,库伦 2139,库仑 2139,库仑
kulunji	2139,库仑计
kulunqi	1407,库伦旗
kulunzhen	1097,库伦镇
kulve	32297,圐圙
kumaicai	8245,苦荬菜
kumen	1830,苦闷
kuming	634,苦命 4030,枯茗
kumokuai	1097,库模块
kumu	1097,库姆 2188,枯木
kumufengchun	2188,枯木逢春
kuna	1097,库纳
kunan	634,苦难
kunanshenzhong	634,苦难深重
kunao	1336,哭闹 1704,苦恼 5356,阃奥
kunbang	2640,捆绑
kunbao	2910,坤包
kunbu	1759,昆布
kunchong	1759,昆虫
kunchongxue	1759,昆虫学
kundian	2910,坤甸
kundulun	2139,昆都仑
kundulunqu	2139,昆都仑区
kundun	868,困顿
kune	2407,困厄
kunfan	5356,阃范
kunfu	2640,捆缚
kunhuo	1600,困惑
kunhuobujie	1600,困惑不解
kunji	5356,阃寄 8004,鹍鸡
kunjiao	868,困觉
kunjing	868,困境
kunjiong	2979,困窘
kunjiqu	8004,鹍鸡曲
kunju	868,困局 1759,昆剧
kunjuan	2329,困倦
kunka	1759,昆卡
kunku	868,困苦
kunlun	2139,昆仑
kunlunshan	2139,昆仑山
kunlunshanmai	2139,昆仑山脉
kunming	1759,昆明
kunminghu	1759,昆明湖
kunmingshi	1759,昆明市
kunnan	868,困难
kunnanzaiyu	868,困难在于
kunpeng	5578,鲲鹏
kunpengzhanchi	5578,鲲鹏展翅
kunqiang	1914,昆腔
kunqu	1759,昆曲
kunrao	1483,困扰
kunshan	1759,昆山
kunshanshi	1759,昆山市
kunshilan	1759,昆士兰
kunshilanzhou	1759,昆士兰州
kunshou	868,困守
kunshouyoudou	1602,困兽犹斗
kunting	1759,昆廷 3163,昆汀
kunxian	8004,鹍弦
kunyang	1759,昆阳
kunyu	1759,昆玉
kunza	2640,捆扎
kunzhong	1759,昆仲
kuoban	1051,扩版
kuobian	1051,扩编
kuobiao	1051,扩表
kuobie	1675,阔别
kuobu	1675,阔步
kuochong	1051,扩充
kuochuo	2930,阔绰
kuoda	1051,扩大
kuodahua	1051,扩大化
kuodazaishengchan	1051,扩大再生产
kuodu	947,括毒 1675,阔度
kuohao	850,括号
kuohu	3062,括弧
kuoji	1051,扩及
kuojian	1051,扩建
kuojun	1051,扩军
kuokong	1289,扩孔
kuolao	1675,阔老 3323,阔佬
kuolie	1051,扩列
kuolou	5523,蛞蝼
kuonie	3665,阔蹑
kuoqi	1675,阔气
kuoqing	2911,廓清
kuoren	1675,阔人
kuosan	1051,扩散
kuosanzhouzhi	1051,扩散周知
kuoxian	850,括线
kuoxiongqi	1356,扩胸器
kuoye	1675,阔叶
kuoyin	1051,扩印 1051,扩音
kuoyinji	1051,扩音机
kuoyinqi	1051,扩音器
kuoyu	6412,蛞蝓
kuoyueji	1935,括约肌
kuozeng	1051,扩增
kuozengshijing	1051,扩增实境
kuozhan	1051,扩展
kuozhang	1051,扩张
kuozhanming	1051,扩展名
kuozhanwu	3157,扩展坞
kuozuiyu	4881,阔嘴鹬
kupai	1867,酷派
kupeng	1926,酷鹏
kupodai	2981,库珀带
kuqi	2449,哭泣
kuqiang	1212,哭墙 1914,哭腔
kuqing	634,苦情
kuqiong	1343,哭穷
kuqiufeng	1210,哭秋风
kuqu	1065,苦趣
kuqun	2431,裤裙
kure	1867,酷热
kurizi	634,苦日子
kurouji	1009,苦肉计
kusang	1404,哭丧
kusangbang	2288,哭丧棒
kusanglian	1404,哭丧脸
kusangzhelian	1404,哭丧着脸
kuse	2836,苦涩
kushen	634,苦参
kusheng	1210,哭声
kushengzhentian	1210,哭声震天
kushi	634,苦事
kushu	2743,酷暑
kushui	634,苦水 2188,枯水
kushuiqi	2188,枯水期
kusi	634,苦思 1867,酷似
kusila	1867,酷斯拉
kusimingxiang	2739,苦思冥想
kusu	1210,哭诉
kutianmolei	2087,哭天抹泪
kutong	730,苦痛
kutou	634,苦头 2090,裤头
kutui	2090,裤腿
kutun	3199,窟臀
kuwa	3045,裤袜
kuwei	844,苦味 2757,枯萎
kuweibing	2757,枯萎病
kuxiao	634,苦笑 2019,酷肖
kuxiaobude	1210,哭笑不得
kuxin	634,苦心
kuxing	634,苦行 1087,苦刑 1867,酷刑
kuxingrengan	4476,苦杏仁苷
kuxingshuzui	2863,苦行赎罪
kuxinguyi	3475,苦心孤诣
kuxingzhemo	1867,酷刑折磨
kuxinjingying	634,苦心经营
kuxiu	2544,枯朽
kuxuan	3292,酷炫
kuyao	2090,裤腰 2342,苦窑
kuyaodai	2090,裤腰带
kuye	2188,枯叶
kuyedao	1128,库页岛
kuyedaoliuying	2902,库页岛柳莺
kuyeji	2188,枯叶剂
kuyi	1245,苦役
kuyin	634,苦因
kuyu	634,苦于
kuzao	2613,枯燥
kuzaowuwei	2613,枯燥无味
kuzhan	634,苦战
kuzhi	44357,苦蘵
kuzhong	2157,苦衷
kuzhongzuole	634,苦中作乐
kuzhu	634,苦主 1588,苦竹
kuzhuang	2090,裤装
kuzi	2090,裤子 2090,裤子
laba	2704,喇叭
labahua	2704,喇叭花
labaibutiao	380,拉白布条
labajie	1497,腊八节
labaku	2704,喇叭裤
labaoer	454,拉包尔
labaqun	2704,喇叭裙
labashuixian	2704,喇叭水仙
labasi	546,拉巴斯
labate	546,拉巴特
labaxing	2704,喇叭形
labazhou	3021,腊八粥
labi	324,拉比 2420,辣彼 2593,蜡笔
labixiaoxin	2593,蜡笔小新
labo	7148,镴箔
labu	380,拉布
labuladuo	380,拉布拉多
labulengsi	3223,拉卜楞寺
lacha	1272,拉茶 4321,拉碴
lachang	324,拉长 1921,腊肠
lachanglian	615,拉长脸
lachangzi	324,拉场子
lache	2084,拉扯
lacheda	2084,拉扯大
lachong	2593,蜡虫
ladabian	324,拉大便
ladake	324,拉达克
ladao	608,拉倒
ladatiao	324,拉大条
lade	324,拉德
ladeng	817,拉登
ladike	2219,拉狄克
lading	1168,拉丁
ladingfangkuai	1168,拉丁方块
ladinghua	1168,拉丁化
ladingmeizhou	1168,拉丁美洲
ladingwen	1168,拉丁文
ladingwenzi	1168,拉丁文字
ladingwu	1168,拉丁舞
ladingyu	1168,拉丁语
ladingzimu	1168,拉丁字母
ladong	324,拉动
ladoujiang	3100,辣豆酱
ladun	794,拉顿
laduzi	1800,拉肚子
laerfu	377,拉尔夫
laerweike	520,拉尔维克
lafage	325,拉法格
lafahe	1346,拉法赫
lafalan	642,拉法兰
lafeicao	1418,拉菲草
lafeier	2972,拉斐尔
lafeite	2972,拉斐特
lafeng	348,拉风
lafu	377,拉夫
lafubao	1521,拉夫堡
lafubaodaxue	1521,拉夫堡大学
lafuluofu	392,拉夫罗夫
lafusangjiani	2051,拉夫桑贾尼
lagaier	1052,拉盖尔
lagan	2011,拉杆
lagang	2047,拉冈
lagao	324,拉高
lagebi	325,拉格比
lagelangri	1276,拉格朗日
lagen	2420,辣根
lageshou	324,拉个手
lagesi	324,拉各斯
lagou	2254,拉钩
lagouer	2034,拉勾儿
lagu	44674,蝲蛄
lagua	3476,啦呱 3476,拉呱
laguan	324,拉管
laguanxi	324,拉关系
lahabu	2420,辣哈布
lahe	2677,喇合
laheer	324,拉合尔
lahei	519,拉黑
lahougouer	2254,拉后钩儿
lahua	324,拉话
lahuan	681,拉环
lahujiao	3187,辣胡椒
lahuo	324,拉活
lahuzu	4988,拉祜族
laian	232,来安 1365,赖安
laiangnaduo	1952,莱昂纳多
laiansuan	3028,赖氨酸
laianxian	877,来安县
laibin	1534,来宾 1534,来宾
laibinshi	1534,来宾市
laibiruiya	1365,赖比瑞亚
laibixi	2058,莱比锡
laibude	39,来不得
laibuji	198,来不及
laibunici	1936,莱布尼茨
laibunizi	1781,莱布尼兹
laichangxing	1606,赖昌星
laichao	1302,来潮
laicheng	1196,莱城
laichuang	1365,赖床 4225,癞疮
laidao	22,来到
laide	39,来得
laidebei	1396,莱德杯
laideji	198,来得及
laidian	230,来电
laidiandaling	1969,来电答铃
laidianxianshi	469,来电显示
laidun	1196,莱顿
laidundaxue	1196,莱顿大学
laifan	767,来犯
laifang	1037,来访
laifangzhe	1037,来访者
laifeng	1504,来凤
laifengxian	1504,来凤县
laifoshi	1196,莱佛士
laifu	5581,莱菔
laifuqiang	874,来复枪 874,来福枪
laifuxian	430,来复线 683,来福线
laifuzi	5581,莱菔子
laigang	927,来港
laihama	4225,癞蛤蟆
laihan	1950,来函
laihong	1924,来鸿
laihongquyan	1924,来鸿去燕
laihua	412,来华
laihui	172,来回
laihuilaiqu	172,来回来去
laihuilaiqude	172,来回来去地
laihun	1365,赖婚
laihuo	433,来火
laihuoer	433,来火儿
laijiang	555,来讲
laijin	1358,来劲
laika	1196,莱卡
laikan	76,来看
laike	583,来客
laili	480,来历
lailian	1365,赖脸
lailibuming	480,来历不明
lailida	1196,莱里达
lailin	839,来临
lailongqumai	1594,来龙去脉
lailu	305,来路
lailubuming	305,来路不明
laimaidan	1280,莱麦丹
laimu	1196,莱姆 36814,梾木
laimubing	1196,莱姆病
laimujiu	1196,莱姆酒
lainian	45,来年
laipi	1365,赖皮
laipibing	4225,癞皮病
laipigou	4225,癞皮狗
laiqie	1196,莱切
laiqingde	1365,赖清德
laiqiyesanshi	1196,莱齐耶三世
laiquwuzong	1532,来去无踪
lairi	101,来日
lairifangchang	109,来日方长
laisaier	1196,莱赛尔
laishan	1196,莱山
laishanqu	1196,莱山区
laishen	227,来神
laisheng	34,来生
laishengchuan	1365,赖声川
laishi	181,来世 425,来示 506,来势
laishui	4483,涞水
laishuixian	4483,涞水县
laisi	1365,赖斯
laisidaxue	1196,莱斯大学
laisite	1196,莱斯特
laisitejun	2289,莱斯特郡
laisiwosidao	1808,莱斯沃斯岛
laisuotuo	1196,莱索托 1365,赖索托
laisutang	1746,来苏糖
laitai	388,来台
laite	1196,莱特 1365,赖特
laitebi	1196,莱特币
laitou	147,来头
laiwang	369,来往
laiwangeer	2407,莱旺厄尔
laiwen	148,来文
laiwensiji	1196,莱温斯基
laiwu	3239,莱芜 3239,莱芜
laiwushi	3239,莱芜市
laixi	1196,莱西 1213,来袭
laixiang	571,来项
laixiaozu	1365,赖校族
laixin	176,来信
laixishi	1196,莱西市
laiyang	1196,莱阳
laiyangshi	1196,莱阳市
laiyi	104,来意 208,来义 1365,赖以
laiyier	1196,莱伊尔
laiyingde	1170,来硬的
laiyinhe	2765,莱茵河
laiyixiang	922,来义乡
laiyou	136,来由
laiyuan	670,来源 4483,涞源
laiyuanxian	4483,涞源县
laiyuanyu	670,来源于
laizhang	2179,赖账
laizhao	593,来朝
laizhe	41,来着
laizhebuju	1331,来者不拒
laizhou	1196,莱州
laizhoushi	1196,莱州市
laizi	43,来自
laizongquji	1532,来踪去迹
laji	2420,辣鸡 2634,垃圾 2634,拉圾 2677,喇舌
lajia	846,拉架
lajiachang	324,拉家常
lajiadaikou	342,拉家带口
lajiangyou	3100,辣酱油
lajiao	3187,辣椒
lajiaojiang	3187,辣椒酱
lajiaoqing	324,拉交情
lajiaozai	3187,辣椒仔
lajiasitanbang	2051,拉贾斯坦邦
lajiche	2634,垃圾车
lajidianyou	2634,垃圾电邮
lajidui	2634,垃圾堆
lajigong	2634,垃圾工
lajigu	2634,垃圾股
lajin	374,拉近 560,拉紧 2252,拉筋
lajinjuli	1202,拉近距离
lajishipin	2634,垃圾食品
lajitong	2634,垃圾桶 2634,垃圾筒
lajixiang	2634,垃圾箱
lajiyoujian	2634,垃圾邮件
laju	3078,拉锯 3429,蜡炬
lajuzhan	3078,拉锯战
lakai	324,拉开
lakaijiashi	846,拉开架势
lakaixumu	1315,拉开序幕
lake	583,拉客 1497,腊克
lakeluniya	898,拉科鲁尼亚
laketichun	2560,拉克替醇
lakuila	2608,拉奎拉
lala	324,拉拉 324,拉拉
lalacheche	2084,拉拉扯扯
laladui	324,拉拉队 1194,啦啦队
laladuizhang	1194,啦啦队长
lali	324,拉力 324,拉里
lalian	1005,拉练 2099,拉链
laliao	2593,蜡疗
lalilata	5040,邋里邋遢
laliqi	441,拉力器
lalisai	1064,拉力赛
lalong	2374,拉拢
lalu	898,拉鲁
lama	2420,辣妈 2677,喇嘛
lamadan	1280,拉马丹
lamajiao	2677,喇嘛教
lamamiao	2677,喇嘛庙
lamaoqiang	5360,拉铆枪
lamategan	1408,拉马特甘
lamei	324,拉美 1497,腊梅 2420,辣妹 2420,辣妹 2593,蜡梅
lameixisi	324,拉美西斯
lameizi	2420,辣妹子
lamian	324,拉面
lamifuding	575,拉米夫定
lamosi	955,拉莫斯
lamuanla	1061,拉姆安拉
lanaitongfen	2498,兰艾同焚
lanaka	717,拉纳卡
lanalie	802,拉那烈
lanban	2357,篮板
lanbanfa	2230,懒办法
lanbanqiu	2357,篮板球
lanbaoshi	1190,蓝宝石
lanbasedong	5627,蓝八色鸫
lanbeibasedong	5627,蓝背八色鸫
lanben	1190,蓝本
lanbojini	965,兰博基尼
lancangjiang	3023,澜沧江
lancangxian	3023,澜沧县
lancaomei	4076,蓝草莓
lanchao	2807,揽炒
lanche	1996,拦车 2821,缆车
lanchibasedong	5627,蓝翅八色鸫
lanchiximei	6336,蓝翅希鹛
lanchiyebei	6419,蓝翅叶鹎
lanchizaomei	6336,蓝翅噪鹛
lanchong	2230,懒虫
lanchougu	1677,蓝筹股
lanchu	3716,阑出
lancuiyuzhe	2166,兰摧玉折
landachiqu	6062,蓝大翅鸲
landai	3024,懒怠
landan	2230,懒蛋 5170,阑殚
lande	2230,懒得
landedali	2230,懒得搭理
landian	5211,蓝靛
landiao	1190,蓝调 2282,滥调 5587,谰调
landingjiao	2170,蓝丁胶
landisi	1440,兰迪斯
landuanchidong	5627,蓝短翅鸫
landun	32226,囒吨
landuo	3310,懒惰
lanehongweiqu	6062,蓝额红尾鸲
lanerbing	1190,蓝耳病
lanercuiniao	2177,蓝耳翠鸟
lanfa	2282,滥伐
lanfeicui	4135,蓝翡翠
lanfeng	3716,阑风
lanfumu	1790,蓝肤木
langan	2101,栏杆 3716,阑干
langao	3983,岚皋
langaoxian	3983,岚皋县
langbei	3090,狼狈
langbeibukan	3090,狼狈不堪
langbeiweijian	3090,狼狈为奸
langbenshitu	4953,狼奔豕突
langcainvmao	1595,郎才女貌
langchao	1302,浪潮
langchuan	1186,浪船
langchuang	3093,狼疮
langdang	1424,浪荡 4570,啷当 5340,锒铛 6154,莨菪
langdangruyu	5340,锒铛入狱
langdexuming	1186,浪得虚名
langdu	1276,朗读
langduoroushao	1708,狼多肉少
langeng	2919,烂梗
langequ	6062,蓝歌鸲
langfang	2542,廊坊
langfangdiqu	2542,廊坊地区
langfangshi	2542,廊坊市
langfei	1186,浪费
langfeijinqian	1186,浪费金钱
langfeizhe	1186,浪费者
langfeng	5334,阆风
langfengdian	5334,阆风巅
langfengshan	5334,阆凤山
langgehanshidao	2221,郎格罕氏岛
langgou	1708,狼狗
langgu	1186,浪谷 1708,狼顾
langhai	1708,狼孩
langhao	1708,狼毫 4287,狼嗥
langhaoguiku	1708,狼号鬼哭
langhua	1186,浪花
langhuan	4312,狼獾 33323,嫏嬛 33323,琅嬛
langji	1186,浪迹 1708,狼籍 2615,狼藉
langjijianghu	1186,浪迹江湖
langjing	1708,狼井
langjitianya	2604,浪迹天涯
langjiu	2075,廊酒
langjun	1457,郎君
langkang	37130,榔槺
langkazi	1186,浪卡子
langkazixian	1186,浪卡子县
langkenxunhuan	1744,郎肯循环
langlang	1457,郎朗
langlangshangkou	1276,朗朗上口
langman	1455,浪漫
langmang	2714,浪莽
langmanzhuyi	1455,浪漫主义
langmao	1673,郎猫
langmiao	2075,廊庙
langmu	1276,朗姆
langmujiu	1276,朗姆酒
langnv	1186,浪女
langping	1457,郎平
langpu	1812,狼仆
langren	1186,浪人 1708,狼人
langshi	2625,浪蚀
langshining	1457,郎世宁
langsong	2557,朗诵
langtao	2054,浪涛
langtou	1186,浪头 1708,狼头 4337,榔头
langtunhuyan	2031,狼吞虎咽
langtuteng	1708,狼图腾
langu	1886,览古
languang	1190,蓝光
languangguangpan	1190,蓝光光盘
langui	1996,拦柜 2101,栏柜 2230,懒鬼 3347,兰闺
langutou	2230,懒骨头
langweili	3585,琅威理
langwen	1276,朗文
langwu	4417,廊庑
langxi	2194,郎溪
langxian	1276,朗县
